C,episode,success
2,300,0.04
2,600,0.06
2,900,0.27
2,1200,0.31
2,1500,0.18
2,1800,0.23
2,2100,0.35
2,2400,0.22
2,2700,0.19
2,3000,0.27
2,3300,0.33
2,3600,0.08
2,3900,0.29
2,4200,0.38
2,4500,0.45
2,4800,0.5
2,5100,0.56
2,5400,0.38
2,5700,0.23
2,6000,0.67
4,300,0.04
4,600,0.02
4,900,0.16
4,1200,0.11
4,1500,0.3
4,1800,0.34
4,2100,0.2
4,2400,0.36
4,2700,0.42
4,3000,0.41
4,3300,0.48
4,3600,0.47
4,3900,0.25
4,4200,0.59
4,4500,0.31
4,4800,0.65
4,5100,0.58
4,5400,0.36
4,5700,0.6
4,6000,0.58
8,300,0.0
8,600,0.03
8,900,0.11
8,1200,0.18
8,1500,0.34
8,1800,0.31
8,2100,0.29
8,2400,0.48
8,2700,0.53
8,3000,0.62
8,3300,0.25
8,3600,0.59
8,3900,0.5
8,4200,0.6
8,4500,0.67
8,4800,0.67
8,5100,0.52
8,5400,0.69
8,5700,0.56
8,6000,0.72
16,300,0.0
16,600,0.11
16,900,0.15
16,1200,0.28
16,1500,0.08
16,1800,0.17
16,2100,0.12
16,2400,0.1
16,2700,0.13
16,3000,0.43
16,3300,0.33
16,3600,0.34
16,3900,0.03
16,4200,0.29
16,4500,0.4
16,4800,0.0
16,5100,0.52
16,5400,0.41
16,5700,0.63
16,6000,0.25
