neuron,layer,avg_rate,C
0,1,0.0,8
1,1,0.1325844,8
2,1,0.0,8
3,1,0.0,8
4,1,0.0,8
5,1,0.069400094,8
6,1,0.017050639,8
7,1,0.0,8
8,1,0.0,8
9,1,0.0,8
10,1,0.00045620438,8
11,1,0.027315237,8
12,1,0.16218066,8
13,1,0.2028969,8
14,1,0.064609945,8
15,1,0.12066606,8
16,1,0.024635037,8
17,1,0.16269389,8
18,1,0.23488823,8
19,1,0.048471715,8
20,1,0.0573677,8
21,1,0.32339188,8
22,1,0.0,8
23,1,0.0,8
24,1,0.0,8
25,1,0.14113823,8
26,1,0.0,8
27,1,0.030793795,8
28,1,0.27104244,8
29,1,0.0,8
30,1,0.0,8
31,1,0.06894389,8
32,1,0.30092382,8
33,1,0.1924042,8
34,1,0.22867244,8
35,1,0.2855269,8
36,1,0.011576186,8
37,1,0.14832345,8
38,1,0.0,8
39,1,0.13959853,8
40,1,0.01727874,8
41,1,0.18966697,8
42,1,0.025946625,8
43,1,0.020072993,8
44,1,0.11091469,8
45,1,0.16662864,8
46,1,0.020072993,8
47,1,0.09808394,8
48,1,0.17056341,8
49,1,0.0,8
50,1,0.23677008,8
51,1,0.16771214,8
52,1,0.19063641,8
53,1,0.18875456,8
54,1,0.08240192,8
55,1,0.0,8
56,1,0.096088044,8
57,1,0.22918567,8
58,1,0.0,8
59,1,0.15516652,8
60,1,0.05571396,8
61,1,0.005303376,8
62,1,0.17495438,8
63,1,0.1930885,8
0,2,0.49292883,8
1,2,0.4294594,8
2,2,0.191948,8
3,2,0.50678605,8
4,2,0.17044936,8
5,2,0.43556112,8
6,2,0.32641423,8
7,2,0.4707459,8
8,2,0.33154655,8
9,2,0.4767906,8
10,2,0.33753422,8
11,2,0.24435447,8
12,2,0.36017334,8
13,2,0.46287638,8
14,2,0.12534216,8
15,2,0.27127054,8
16,2,0.53096485,8
17,2,0.3602874,8
18,2,0.27223995,8
19,2,0.19057938,8
20,2,0.28187728,8
21,2,0.33667883,8
22,2,0.28432938,8
23,2,0.62996125,8
24,2,0.18510492,8
25,2,0.43276688,8
26,2,0.42364278,8
27,2,0.44519845,8
28,2,0.28330293,8
29,2,0.33342838,8
30,2,0.19365875,8
31,2,0.24047673,8
32,2,0.18658759,8
33,2,0.6742701,8
34,2,0.116104014,8
35,2,0.23945028,8
36,2,0.13674726,8
37,2,0.5115762,8
38,2,0.4484489,8
39,2,0.34095573,8
40,2,0.42774862,8
41,2,0.2346031,8
42,2,0.30314782,8
43,2,0.14701186,8
44,2,0.41126823,8
45,2,0.4658417,8
46,2,0.51528287,8
47,2,0.49372718,8
48,2,0.17278741,8
49,2,0.2941948,8
50,2,0.16856752,8
51,2,0.48625684,8
52,2,0.25210994,8
53,2,0.28318888,8
54,2,0.15094662,8
55,2,0.1459854,8
56,2,0.3015511,8
57,2,0.39564323,8
58,2,0.2997833,8
59,2,0.26773494,8
60,2,0.17495438,8
61,2,0.2669366,8
62,2,0.3272696,8
63,2,0.6435333,8
