episode,mean_success,std_success,seed0,seed1,seed2,seed3,seed4
300,0.0080,0.0160,0.0000,0.0000,0.0400,0.0000,0.0000
600,0.0540,0.0367,0.0900,0.0000,0.0800,0.0800,0.0200
900,0.1020,0.0682,0.1100,0.0000,0.2000,0.0600,0.1400
1200,0.1420,0.0293,0.1700,0.1000,0.1300,0.1300,0.1800
1500,0.1900,0.1729,0.0200,0.0700,0.5000,0.2500,0.1100
1800,0.2140,0.1564,0.1800,0.1200,0.5000,0.0400,0.2300
2100,0.2360,0.1302,0.2600,0.0900,0.4700,0.2100,0.1500
2400,0.2560,0.1387,0.2800,0.1200,0.5100,0.2200,0.1500
2700,0.2920,0.0995,0.2300,0.2000,0.4800,0.3000,0.2500
3000,0.3720,0.0631,0.4200,0.3000,0.4700,0.3400,0.3300
3300,0.3880,0.0306,0.3700,0.4000,0.3500,0.3800,0.4400
3600,0.4300,0.1381,0.2500,0.4200,0.6000,0.5700,0.3100
3900,0.5540,0.1303,0.5900,0.3500,0.5800,0.7500,0.5000
4200,0.5460,0.0432,0.5900,0.4900,0.5900,0.5600,0.5000
4500,0.5860,0.0605,0.6100,0.5200,0.6800,0.6000,0.5200
4800,0.5140,0.0500,0.5600,0.4200,0.5500,0.5100,0.5300
5100,0.5960,0.0665,0.7000,0.5100,0.6400,0.5700,0.5600
5400,0.5080,0.1680,0.1800,0.6100,0.5300,0.6400,0.5800
5700,0.4780,0.0445,0.5200,0.4400,0.5100,0.4100,0.5100
6000,0.5940,0.0761,0.6900,0.5200,0.6400,0.6300,0.4900
