episode,mean_success,std_success,seed0,seed1,seed2
300,0.0400,0.0566,0.0000,0.0000,0.1200
600,0.0533,0.0205,0.0300,0.0800,0.0500
900,0.1867,0.1014,0.1100,0.1200,0.3300
1200,0.3367,0.2007,0.1800,0.2100,0.6200
1500,0.3900,0.1951,0.3400,0.1800,0.6500
1800,0.2867,0.0556,0.3100,0.3400,0.2100
2100,0.3200,0.1042,0.2900,0.2100,0.4600
2400,0.5300,0.0638,0.4800,0.4900,0.6200
2700,0.4000,0.1257,0.5300,0.4400,0.2300
3000,0.5767,0.1066,0.6200,0.4300,0.6800
3300,0.4533,0.1533,0.2500,0.4900,0.6200
3600,0.6333,0.0330,0.5900,0.6700,0.6400
3900,0.6067,0.0793,0.5000,0.6300,0.6900
4200,0.6467,0.0957,0.6000,0.5600,0.7800
4500,0.6000,0.0726,0.6700,0.6300,0.5000
4800,0.5967,0.0660,0.6700,0.5100,0.6100
5100,0.5567,0.0386,0.5200,0.6100,0.5400
5400,0.6700,0.0432,0.6900,0.6100,0.7100
5700,0.6633,0.0732,0.5600,0.7200,0.7100
6000,0.7467,0.0525,0.7200,0.7000,0.8200
